S/No.,Programme,Sub Programme,Approved Estimates (Kshs.),Approved Estimates (Kshs.),Expenditure (Kshs.),Expenditure (Kshs.),Absorption Rate (%),Absorption Rate (%)
,,,Recurrent,Development,Recurrent,Development,Rec,Dev
A,"DEPARTMENT OF AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,
1,"Programme 1; Administration,
planning and support services","SP 1.1: Administration
planning and support services",54889365,198094201,44349257,117146479,81,59
,,SP 1.2: Human Resource,373268452,-,316465176,-,85,-
2,"Programme 2: Livestock
resource management and
development","SP 2.1: Livestock production
and management",2000000,-,2000000,-,-,-
,,"SP 2.2: Promotion of value
addition of livestock and
livestock products",38926446,34800000,31282600,31903688,80,92
,,"SP 2.3: Livestock extension
service delivery",-,8300000,-,4749401,-,-
,,"SP 2.4: Food safety
and livestock products
development",-,15846059,-,5070600,-,32
,,"SP 2.5: livestock diseases
management and control",235366,10861000,-,8673900,-,80
3,"Programme 3; Fisheries
development","SP 3.1: Aquaculture
development",-,3000000,-,-,-,-
,,"SP 3.2: development of capture
fisheries resources",-,2000000,-,1158210,-,58
,,"SP 3.3 Fish quality assurance
value addition and marketing",-,8139000,-,2939000,-,36
4,"Programme 4; Crop
development and management","SP 4.1 Agriculture extension
research and training",-,-,-,-,-,-
,,"SP 4.2 crop production and
food security",5934200,770227833,4801090,237286560,81,31
,,"SP 4.3 Farmland utilization,
conservation and
mechanization",-,-,-,-,-,-
,,"SP 4.4 Agribusiness
development and marketing",-,3026226,-,618020,-,-
,,SP 4.5 Agri-Nutrition,-,-,-,-,-,-
,,Sub Total,475253829,1054294319,398898124,409545857,84,39
B,NAIVASHA MUNICIPALITY,,,,,,,
1,"Programme 1; Administration
and planning and support
services","SP 1.1 Administration and
Planning",19724400,-,7850054,-,40,-
,,SP 1.2, personnel services,11042628,-,5587807,-,51
,,SP 1.3 financial services,-,-,-,-,-,-
2,"Programme 2; Naivasha
municipal services","SP 2.1 planning and
infrastructure",5300001,137570841,887300,100512742,17,73
,,"SP 2.2 environmental
management and sanitation",-,-,-,-,-,-
,,"SP 2.3 Naivasha Social
Services",1000000,-,-,-,-,-
,,"SP 2.4 tourism investment
and trade",1000000,-,-,-,-,-
,,Sub-Total,38067029,137570841,14325161,100512742,38,73
C,"PUBLIC SERVICE, DEVOLUTION, CITIZEN ENGAGEMENT, DISASTER MANAGEMENT &HUMANITARIAN ASSISTANCE",,,,,,,
1,"Programme 1: Administration,
planning and support service","Sub-programme
1.1(Administration service)",51535552,-,17718998,-,34,-
,,"Sub-programme 1.2(Personal
Service)",575013298,-,414039375,-,72,-
,,"Sub-programme 1.3(Financial
Service)",-,-,-,-,-,-
,,"Sub-programme
1.4(Mainstream Workplace
HIV/AIDS, Alcohol & Drug
Abuse Control)",990000,-,-,-,-,-
,,"Sub-programme
1.5(Rehabilitation/
Construction of Sub County
Ofices)",-,39352925,-,17781670,-,45
2,"Programme 2; human resource
management and development","SP 2.1; performance
contracting",9855040,-,-,-,-,-
,,"SP 2.2 PERFORMANCE
Appraisal system",9855040,-,-,-,-,-
,,"SP 2.3 Staff development
through capacity building and
training",3350000,-,-,-,-,-
3,"Programme 3; civil education &
public participation","SP 3.1 co-ordination of
public and special community
programme",530000,-,-,-,-,-
4,"Programme 4: Disaster
management and humanitarian
assistance","SP4.1disaster management
and humanitarian assistance",15374119,-,-,-,-,-
,,Subtotals,666503049,39352925,431758373,17781670,65,45
D,"DEPARTMENT OF EDUCATION, VOCATIONAL TRAINING, ICT AND E-GOVERNMENT",,,,,,,
1,"Programme 1: Administration,
planning and support service","SP 1.1 administration and
support service",28687217,530846563,21673472,178745201,76,34
,,SP 1.2 Personnel service,510018605,-,476147347,-,93,-
,,SP 1.3 financial services,500000,-,-,-,-,-
2,"Programme 2: Promotion of
early childhood education and
development","SP 2.1 Promotion of Early
Childhood",90855165,1520000,78120968,-,86,-
,,SP 2.2 Bursaries,385510069,-,388320831,-,101,-
,,SP 2.3Education development,-,15000000,-,-,-,-
3,"Programme 3: Vocational
training",SP 3.1 Vocational training,73628501,-,66913549,-,91,-
,,SP 3.2 Skill Upgrading,-,67899995,-,54287415,-,80
4,"Programme 4 Information and
communication","SP 4.1 Public communication
and media services",8000016,4500000,2711877,-,34,-
5,"Programme 5 ICT
Infrastructure Development and
E-government Services",SP 5.1 Network Infrastructure,-,500000,-,-,-,-
,,"5.2 Hardware and software
platforms",-,1000000,-,-,-,-
,,5.3 E-government services,22325303,1000000,-,-,-,-
,,Sub-Total,1126017876,615773558,1033888044,233032616,92,38
E,COUNTY TREASURY,,,,,,,
1,"Programme 1; Administration,
planning and support services",SP 1.1 Administration services,738158003,461031527,627033507,374262762,85,81
,,SP 1.2 Personnel services,542845778,-,505077908,-,93,-
,,SP 1.3 financial services,300000,-,,-,-,-
2,"Programme 2; Public Finance
Management","SP 2.1 Budget formulation
coordination and management",243804981,-,182995519,-,75,-
,,SP 2.2Resources mobilization,89040482,-,49015899,-,55,-
,,SP 2.3 internal audit,39393711,-,25071758,-,64,-
,,SP 2.4 procurement,18079814,-,4095952,-,23,-
,,"SP 2.5 public finance and
accounting",24361432,-,12384014,-,51,-
,,SP 2.6 Debt management,231712167,300273459,40527202,251636767,18,-
,,"SP 2.7 External Resources
Mobilization",10383988,-,4189497,-,40,-
3,"Programme 3: Economic and
financial policy formulation and
management",SP 3.1 Fiscal planning,40684648,-,25881103,-,64,-
,,"SP 3.2 monitoring and
evaluation /statistical data
management",9191340,-,4817542,-,52,-
,,SP 3.3 KDSP programme,-,104594212,-,52123971,-,50
,,Sub-Total,49875988,104594212,30698645,52123971,62,50
F,NAKURU CITY,,,,,,,
1,Programme 1,"SP 1.1 Administration and
Support Services",19195000,-,15262004,-,80,-
,,SP 1.2 personnel services,27630170,-,21706745,-,79,-
,,SP 1.3 financial services,600000,-,457049,-,76,-
2,Programme 2,"SP 2.1 Infrastructure
development and urban",7846545,420471001,206200,346369359,3,82
,,"SP 2.2 Nakuru City
Environments Management",-,1500000,-,984950,-,66
,,"SP 2.3 Trade markets and
investments",2800000,-,2089761,-,75,-
,,"SP 2.4 Nakuru City Social
Services",2899418,-,2077424,-,72,-
,,Sub-Total,60971133,421971001,41799182,347354309,69,82
G,"DEPARTMENT OF YOUTH, CULTURE, GENDER, SPORTS AND SOCIAL SERVICES",,,,,,,
1,"Programme 1: Administration,
planning and support services","SP 1.1 Administration and
Support Services",15363537,159866074,11779711,76580616,77,48
,,SP 1.2 Personnel services,115540567,-,90456332,-,78,-
,,SP 1.3 Financial services,7600000,-,-,-,-,-
2,"Programme 2 Development
of social-cultural diversity,
economic empowerment and
responsible Gaming","SP 2.1; Gender Equality and
Empowerment",5562500,-,2867914,-,52,-
,,"SP 2.2 Social Inclusion and
Empowerment",36552000,15500000,5068516,11750250,14,76
3,"Programme 3 Management
and development of sports,
recreation and sports facilities","SP 3.1 Development and
Management of Sports
Infrastructure",-,617823107,-,7754514,-,44
,,"SP 3.2 Promotion of Sports
Development and Recreation",52162500,-,44581196,-,86,-
